ms,hall,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6624,1,400,51,3241,29,-3928,-247
6612,1,236,47,3203,28,-3921,-255
6620,1,104,-23,3198,27,-3922,-244
6620,1,24,96,3275,24,-3923,-238
6572,1,-92,31,3282,16,-3917,-237
6576,1,-181,-69,3191,24,-3919,-234
6628,0,-330,3,3324,28,-3914,-237
6576,0,-489,-16,3304,23,-3916,-245
6632,0,-589,-45,3292,32,-3917,-253
6632,0,-671,74,3339,33,-3916,-249
6624,0,-768,24,3360,25,-3915,-245
6620,1,-858,-20,3344,27,-3915,-230
6628,1,-988,81,3462,27,-3913,-226
6628,1,-1130,-26,3497,19,-3910,-232
6672,1,-1206,-48,3507,27,-3909,-239
6676,1,-1335,30,3556,25,-3910,-255
6672,1,-1386,-31,3589,21,-3910,-257
6668,1,-1533,-41,3616,25,-3910,-251
6676,1,-1654,16,3674,25,-3910,-234
6668,1,-1755,-71,3729,27,-3908,-222
6676,1,-1866,-76,3798,33,-3908,-221
6676,1,-1969,34,3849,27,-3907,-231
6664,1,-2037,-52,3886,19,-3906,-245
6672,1,-2167,-53,3953,20,-3902,-259
6676,1,-2284,-9,4069,16,-3900,-261
6628,1,-2366,-90,4119,22,-3902,-252
6676,1,-2383,-74,4159,26,-3901,-236
6672,1,-2493,-30,4262,26,-3899,-226
6676,1,-2586,-58,4343,31,-3898,-226
6672,1,-2675,-62,4427,27,-3897,-236
6676,1,-2762,-55,4489,21,-3896,-251
6672,1,-2849,-103,4576,18,-3897,-256
6720,1,-2902,-93,4633,23,-3893,-247
6672,1,-3012,-111,4814,25,-3894,-235
6724,1,-3088,-131,4870,28,-3900,-228
6720,1,-3157,-97,4977,32,-3901,-229
6672,1,-3183,-66,5005,28,-3901,-240
6680,1,-3240,-59,5126,18,-3902,-250
6668,1,-3291,-104,5271,12,-3899,-251
6720,1,-3398,-151,5371,22,-3896,-246
6716,1,-3426,-155,5510,28,-3894,-235
6724,1,-3481,-118,5547,34,-3892,-223
6716,1,-3540,-87,5646,33,-3895,-230
6688,1,-3572,-45,5747,23,-3891,-242
6672,1,-3620,-108,5853,13,-3893,-251
6720,1,-3715,-184,6000,8,-3891,-253
6672,1,-3732,-207,6139,13,-3888,-252
6724,1,-3747,-241,6202,29,-3896,-237
6720,1,-3800,-262,6276,38,-3890,-230
6716,1,-3801,-166,6412,42,-3891,-231
6716,1,-3799,-96,6557,33,-3888,-235
6676,1,-3845,-138,6664,16,-3892,-246
6728,1,-3917,-125,6816,9,-3892,-252
6672,1,-3927,-211,6861,8,-3889,-248
6680,1,-3890,-289,6987,19,-3893,-244
6720,1,-3918,-293,7149,35,-3894,-236
6724,1,-3910,-232,7248,45,-3894,-232
6724,1,-3917,-164,7350,41,-3893,-236
6716,1,-3934,-110,7448,21,-3891,-242
6720,1,-3915,-168,7594,10,-3897,-247
6716,1,-3925,-238,7716,5,-3893,-245
6684,1,-3908,-339,7883,13,-3895,-241
6716,1,-3891,-341,8010,31,-3892,-235
6724,1,-3873,-286,8061,44,-3892,-236
6724,1,-3836,-198,8128,33,-3888,-234
6716,1,-3809,-165,8283,23,-3888,-238
